title,price,location,time,status,category,seller_nickname,image_count,chat_count,interest_count,view_count,manner_temperature,description,url
갤럭시Z폴드7 512GB 블루 외관올수리 S급 팝니다.,"1,550,000원",대전 유성구 봉명동,,판매중,디지털기기,오늘도힘찬하루,10,4,15,399,42.2°C,"26년 2월4일 KT정상해지 3사통신사, 요금할인25% 가능합니다. 삼케플미가입, 박스X,기기단품 구매하실분만 연락주세요.",https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9Cz%ED%8F%B4%EB%93%9C7-512gb-%EB%B8%94%EB%A3%A8-%EC%99%B8%EA%B4%80%EC%98%AC%EC%88%98%EB%A6%AC-s%EA%B8%89-%ED%8C%9D%EB%8B%88%EB%8B%A4-ypezquzma82y/
갤럭시 Z 폴드7 풀박스(민트) 512G 팝니다,"1,600,000원",대전 유성구 봉명동,,판매중,디지털기기,JY,7,8,8,483,37.6°C,갤럭시 Z 폴드7 민트 512기가 판매합니다 풀박스이고 상태는 사진과 같습니다 상태 양호하고 자급제 입니다  관심 있으신분 연락 주세요,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C7-%ED%92%80%EB%B0%95%EC%8A%A4-%EB%AF%BC%ED%8A%B8-512g-%ED%8C%9D%EB%8B%88%EB%8B%A4-65vop8fsip8s/
폴드7 512기가 팝니다 급쳐,"1,650,000원",경남 거제시 상문동,,판매중,디지털기기,킹왕짱맨,12,6,2,428,40.0°C,아이폰으로 변경하게되서 팝니다 최초통신사 lg구요 풀박스입니다  안팔리면 업자에게 넘길예정입니다,https://www.daangn.com/kr/buy-sell/%ED%8F%B4%EB%93%9C7-512%EA%B8%B0%EA%B0%80-%ED%8C%9D%EB%8B%88%EB%8B%A4-%EA%B8%89%EC%B3%90-1ek89tkgt1mw/
갤럭시 Z 폴드 7 블랙,"1,550,000원",대전 유성구 봉명동,,판매중,디지털기기,반석파울러,13,8,9,609,46.7°C,갤럭시 Z 폴드 7 블랙 색상입니다 (256G) 2025년 9월 5일 최초 통화했습니다. 통신사 단말기로 구입하여 전액 납부하여 자급제 유심도 가능합니다! 아이폰 사용하다가 바꿨던거라 로직이 익숙지 않아서 새제품 같은 기계 그대로 팝니다! 이상한 소리 하시거나 그냥 찔러보시는분들은 답 안하겠습니다!  필요하신분만 연락 주세요!!,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C-7-%EB%B8%94%EB%9E%99-g6kc1w3tcdz1/
자급제 갤럭시 Z 폴드7 256GB 블랙 새상품급 풀박스,"1,680,000원",대전 동구 성남동,,판매중,디지털기기,크롬하츠,10,3,3,159,40.5°C,오늘 관저 서비스센터점에서 정품 보호필름 교체완료 . 흰지 기스 아닙니다. 초기 보호필름입니다 최초통화일 25년 10월 19일 입니다. 현재 대전 당근에 유심기변 및 가개통 제품만 올라와 있습니다. 삼케플 명의 이전 가능하구요. 2주전 도장까짐으로 인해  관저동 심성서비스센터에서 전면제외 올갈이 했습니다 한달 조금 넘은 제품입니다 따끈따끈하구요 거래 내역 보시면 휴대폰에관해 거래 해 오면서 문제된적 한번도 없습니다. 시세보다 왜 이렇게 비싸냐 하시는 분들은 가개통 및 유심기변 구매하시면 됩니댜. (확정기변 안됩니다) 전 판매자 분께서 미납 하거나 분실신고 하면  벽돌폰 입니다. 깔끔하고 안전하게 대면으로만 거래 원합니다. 비대면은 가능하지만 당근페이 안받고 계좌이체 전액 받고 거래합니다. 내부 메인액정 정품 필름 및 전면 정품 AR필름 부착 하고있습니다 . 또한 카메라 풀커버 보호필름도 부착중 입니다. 휴대폰 상태는 새것과 다름없으니 연락 주시면 친절하게 설명 드리겠습니다.  택배 원하시면 +4000원입니다.,https://www.daangn.com/kr/buy-sell/%EC%9E%90%EA%B8%89%EC%A0%9C-%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C7-256gb-%EB%B8%94%EB%9E%99-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-%ED%92%80%EB%B0%95%EC%8A%A4-e8rhm57nz3cq/
갤럭시 Z 폴드7 256GB 자급제,"1,650,000원",대전 유성구 봉명동,,판매중,디지털기기,헬로a,12,2,2,201,42.3°C,삼성 갤럭시 Z 폴드7 블루 256GB 자급제 - 사용기간 한 달 미만 - 최초통화일 25년 9월 20일 - 삼성케어플러스 가입 가능 - 찍힘 및 기스 없는 S급 상품 박스보관 - 거래는 봉명동에서 직접 보시고 구매 가능 연락주세요:),https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-%ED%8F%B4%EB%93%9C7-256gb-%EC%9E%90%EA%B8%89%EC%A0%9C-agkqycgz8vz8/
갤럭시Z폴드7 512GB 자급제 미사용,"1,750,000원",대전 유성구 봉명동,,판매중,디지털기기,오늘도힘찬하루,6,3,6,281,42.2°C,갤럭시Z폴드7 512GB 자급제 미사용 폰 팝니다. 휴대폰 설정 들어가셔서 보시면 아시겠지만 작동시간 자체가 거의 없는 새기기라고 보셔도 되요. 접었다 펴보지도 않았습니다! 삼케플은 별도 가입 하진 않았습니다. 연락주세요.,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9Cz%ED%8F%B4%EB%93%9C7-512gb-%EC%9E%90%EA%B8%89%EC%A0%9C-%EB%AF%B8%EC%82%AC%EC%9A%A9-zn2to44ep4tn/
갤럭시 Z폴드7 sss급 512G,"1,800,000원",경기 하남시 미사3동,,판매중,디지털기기,유성북구,5,2,0,746,41.4°C,갤럭시 Z폴드7 폰입니다. 구매한지 한달되었습니다 자급제는 아닙니다 3사 가능하고요 15개월후면 이기계는 약정이 끝납니다 그리고 폰교체 서비스도 가입한 상태라 쓰시다가 저한테 연락주시면 무상으로 모든 수리가 가능합니다 네고사절 신중히 선택해주세요.,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z%ED%8F%B4%EB%93%9C7-sss%EA%B8%89-512g-d7cdfb4uhu3u/
갤럭시 Z Fold7 블랙미개봉 512g 판매합니다(자급제x),"1,750,000원",대전 유성구 봉명동,,판매중,디지털기기,밤요밤요,5,1,0,86,36.7°C,갤럭시 Z Fold7 미개봉 박스입니다 상태는 사진과 같습니다,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-fold7-%EB%B8%94%EB%9E%99%EB%AF%B8%EA%B0%9C%EB%B4%89-512g-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-%EC%9E%90%EA%B8%89%EC%A0%9Cx-npdbysgss4co/
갤럭시 Z Fold7 폴드7 512GB 블루,"1,773,000원",대전 유성구 봉명동,,판매중,디지털기기,월드스타,11,12,9,1769,60.4°C,갤럭시 Z Fold7 폴드7 512기가 블루스카이 색상으로 폰보험 들어있으며 1달 정도 사용하고 해제한  폰입니다^^ SSS급으로 새폰급 입니다 - 뛰어난 멀티태스킹 성능을 제공합니다 - 슬림한 디자인으로 휴대성이 좋습니다 - 고화질 카메라로 선명한 사진 촬영이 가능합니다.,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-z-fold7-%ED%8F%B4%EB%93%9C7-512gb-%EB%B8%94%EB%A3%A8-wkjmup9e843j/
