title,price,location,time,status,category,seller_nickname,image_count,chat_count,interest_count,view_count,manner_temperature,description,url
삼성 DDR4 16GB 3200MHz 2개,"290,000원",대전 서구 둔산동,25분 전,판매중,디지털기기,메타당근,5,0,0,23,46.1°C,삼성 DDR4 16GB 데스크탑 램입니다 3200MHz 속도로 빠른 데이터 처리 속도를 제공합니다. 두개 일괄판매합니다. 정상작동 확인하였습니다.,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-ddr4-16gb-3200mhz-2%EA%B0%9C-gkispcxkoxug/
갤럭시 s22 256기가 그린 일괄판매,"700,000원",대전 서구 둔산동,26분 전,판매중,디지털기기,민머리캡틴,5,0,2,19,38.8°C,정상해지 이상없음  문의주세요,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s22-256%EA%B8%B0%EA%B0%80-%EA%B7%B8%EB%A6%B0-%EC%9D%BC%EA%B4%84%ED%8C%90%EB%A7%A4-syofu5ukqa6b/
레오폴드 FC900RBT 그라파이트 블루 저소음 적축 키보드 판매합니다.,"90,000원",대전 서구 둔산동,끌올 29분 전,판매중,디지털기기,사각곰,6,0,2,57,38.5°C,"레오폴드 FC900RBT 그라파이트 블루 저소음 적축 키보드 판매합니다. 가끔 사용하여 사용감이 거의 없습니다. Esc키랑 방향키는 다른 키캡으로 바꿔놨고, 원래 키들도 포함되어 있습니다. 더스트커버와 미사용 케이블 포함입니다. 비대면 문고리 거래로 진행합니다. 관심 있으신 분들 연락주세요.",https://www.daangn.com/kr/buy-sell/%EB%A0%88%EC%98%A4%ED%8F%B4%EB%93%9C-fc900rbt-%EA%B7%B8%EB%9D%BC%ED%8C%8C%EC%9D%B4%ED%8A%B8-%EB%B8%94%EB%A3%A8-%EC%A0%80%EC%86%8C%EC%9D%8C-%EC%A0%81%EC%B6%95-%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-dfu8nma6nhqq/
⭕️투미 익스펜더블 알파2 트래블 캐리온 사첼 보스턴백<어깨끈 없음>,"180,000원",대전 서구 둔산동,44분 전,판매중,남성패션/잡화,두롱이,14,0,0,3,44.7°C,"​직거래: 대전 지역 가능  ​택배: 타지역은 당근페이 안전거래로 택배 발송해 드립니다. 이제 가격 변경 없습니다 다른가방도 있습니다 구경하세요 ""단순한 노트북 가방이 아닙니다. 들고 다니는 캐리어입니다."". 일반 서류가방보다 수납력은 월등하고, 캐리어보다 휴대성이 좋은 유니크한 모델입니다. 1~2박 출장, 여행, 혹은 품격 있는 골프관련 백을 찾으시는 분께 강력 추천합니다. 📏 제품 스펙 ✅모델명: TUMI Alpha 22121D4 Expandable Travel Satchel ✅사이즈: 45 x 30 x 20cm (확장 시 약 25cm) ✅기내 반입 가능한 최적의 사이즈입니다. ✨ 핵심 관리 상태 (Condition) ✅외부 (S급): 투미의 상징인 FXT 방탄 나일론이 까짐이나 올 풀림 전혀 없이 짱짱합니다. 바닥에 내려놓는 가방임에도 하단부까지 매우 깨끗합니다. 진한 블랙 색상이 그대로 살아있습니다. ✅핸들 (가죽 상태 최상): 이 모델의 생명인 '자석 가죽 핸들'이 갈라짐 없이 탄탄합니다. 착 감기는 그립감이 일품입니다. ✅내부 (쾌적함): 오염, 냄새 배임, 코팅 벗겨짐 전혀 없습니다. (받아보시면 압니다.) ✅지퍼/하드웨어: 이빨 빠짐없이 아주 부드럽게 열리고 닫힙니다. 지퍼 지퍼 손잡이(Pulls)는 사용감 있음 ✅바닥 스터드: 5개의 보호용 발(Studs) 모두 온전하여 바닥 오염 걱정 없습니다. ⚠️ 구성품 및 가격 책정 사유 (필독) 구성품: 가방 본품 (스트랩, 네임택 제외) ✅설명: 주로 차량 이동 및 해외 출장용으로 사용하여, 투박하고 멋스러운 '보스턴백' 스타일로 핸들만 사용했습니다. 거추장스러운 어깨끈과 네임택은 따로 보관하다 분실했습니다. ✅참고: 실제로 짐을 넣으면 어깨에 메는 것보다 탄탄한 가죽 핸들로 드는 것이 자세가 훨씬 잘 나옵니다. (필요시 시중의 검정 스트랩과 호환 가능합니다.) 👉 해당 부속품 부재를 감안하여 시세보다 합리적인 가격에 올립니다. 🏆 이 가방이 필요한 이유 (Features) ✅ㄷ자 풀 오픈 방식: 일반 보스턴백과 다릅니다. 캐리어처럼 완전히 개방되어 짐 정리가 너무 쉽습니다. ✅마법 같은 수납 (Expandable): 지퍼 하나로 폭이 5cm 확장됩니다. 올 때 짐이 늘어나도 걱정 없습니다. ✅최강의 내구성: 칼로도 잘 찢어지지 않는 방탄 나일론 소재로 거친 여행 환경에서도 내용물을 완벽 보호합니다. ✅애드-어-백 (Add-a-Bag): 캐리어 손잡이에 끼울 수 있어 장기 여행 시 보조 가방으로 완벽합니다.",https://www.daangn.com/kr/buy-sell/%ED%88%AC%EB%AF%B8-%EC%9D%B5%EC%8A%A4%ED%8E%9C%EB%8D%94%EB%B8%94-%EC%95%8C%ED%8C%8C2-%ED%8A%B8%EB%9E%98%EB%B8%94-%EC%BA%90%EB%A6%AC%EC%98%A8-%EC%82%AC%EC%B2%BC-%EB%B3%B4%EC%8A%A4%ED%84%B4%EB%B0%B1-%EC%96%B4%EA%B9%A8%EB%81%88-%EC%97%86%EC%9D%8C-ayzo7sw4qusn/
"신세계 상품권 15만원 (50,000x3) 교환권","145,000원",대전 유성구 구즉동,56분 전,판매중,티켓/교환권,망고밍고,5,0,2,7,42.7°C,"신세계 상품권 50,000 3장 교환권입니다 종이 상품권으로 교환해서 사용 하셔야 돼요",https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84-%EC%83%81%ED%92%88%EA%B6%8C-15%EB%A7%8C%EC%9B%90-50-000x3-%EA%B5%90%ED%99%98%EA%B6%8C-3tn15k8urtiz/
내셔널지오그래픽,"150,000원",대전 중구 문창동,끌올 1시간 전,판매중,남성패션/잡화,유리,8,1,11,498,41.1°C,내셔널지오그래픽  누빔경량패딩 서울 롯데에서 구매했어요 ⏩️최종가격. 브랜드: 내셔널지오그래픽  색상: 베이지 사이즈: 105 사놓고 옷장보관만한거라  약간의 구김은 생겼네요 손이잘안가 판매합니다  직접보고 결정하세요  ⏩️직거래장소 충무로139,https://www.daangn.com/kr/buy-sell/%EB%82%B4%EC%85%94%EB%84%90%EC%A7%80%EC%98%A4%EA%B7%B8%EB%9E%98%ED%94%BD-a8uv5u983zwk/
⭕️요시다 포터 타임 2WAY 브리프케이스 L 655-08298 A급,"380,000원",대전 서구 둔산동,1시간 전,판매중,남성패션/잡화,두롱이,14,0,0,10,44.7°C,"​직거래: 대전 지역 가능  ​택배: 타지역은 당근페이 안전거래로 택배 발송해 드립니다. 더 이상 가격변경 없습니다 다른 가방도 있어요 참고하세요 https://korea.shop-porter.com/product/view.asp?ProductNo=3976&no=216 ""흐물거리는 가방은 싫으신가요? 각 잡힌 비즈니스 포터의 끝판왕, '타임(TIME)'입니다."" 캐주얼한 탱커 라인과 달리, 정장에 완벽하게 어울리며 노트북 수납 등 실용성이 극대화된 모델입니다. 현재 외관상 새 상품과 다를 바 없는 빳빳한 컨디션을 유지하고 있습니다. 깔끔한 출퇴근용 가방을 찾으시는 분께 자신 있게 추천합니다. 📏 제품 스펙 (Specification) ✅ 모델명: PORTER TIME 2WAY BRIEFCASE (PT-655-08298PT10) 블루 ✅ 사이즈: W 410 × H 300 × D 80 (mm) / 15인치 노트북 수납 가능 ✅ 소재: 코듀라 나일론 트윌 (테프론 발수 가공 + PVC 방수 코팅) ✨ 핵심 관리 상태 (Condition) ""가방의 생명인 '각'이 무너지지 않고 새것처럼 빳빳합니다."" ✅ 외부 (A급): 기스, 찍힘, 오염 전혀 없습니다. 포터 타임 특유의 코듀라 원단 결이 그대로 살아있으며, 바닥 모서리까지 완벽하게 깨끗합니다. ✅ 핸들/스트랩: 손잡이 가죽과 어깨 끈 모두 사용감이 느껴지지 않을  정도로 짱짱합니다. 보풀이나 늘어짐 일절 없습니다. ✅ 내부: 펜 자국이나 오염 없이 매우 쾌적합니다. 노트북 포켓 밴딩도 늘어짐 없이 쫀쫀합니다. ✅ 특이사항 (솔직설명): 숄더 스트랩 연결 고리(금속)끼리 닿는 부분에 아주 미세한 마찰 흔적은 있습니다. 하지만 도색이 벗겨지거나 까진 것이 아니라서 실착 시 전혀 티가 나지 않습니다. 이 점을 제외하면 사실상 새것과 다름없습니다. 🏆 이 가방이 필요한 이유 (Features) 프로페셔널한 수납: 외부: 자주 쓰는 폰/지갑을 위한 대형 포켓 (내부 분리됨) 내부: 안전한 PC 수납창, 서류용 찍찍이 포켓, 펜 홀더 등 비즈니스에 최적화된 동선을 제공합니다. 가벼움과 내구성: 가죽 가방처럼 무겁지 않으면서(약 1kg), 일반 나일론보다 훨씬 질긴 '코듀라' 원단을 사용해 전투용으로 써도 끄떡없습니다.",https://www.daangn.com/kr/buy-sell/%EC%9A%94%EC%8B%9C%EB%8B%A4-%ED%8F%AC%ED%84%B0-%ED%83%80%EC%9E%84-2way-%EB%B8%8C%EB%A6%AC%ED%94%84%EC%BC%80%EC%9D%B4%EC%8A%A4-l-655-08298-a%EA%B8%89-6fop3ydpjv42/
뉴발란스 2010 차콜색상 280사이즈(1회 착용),"125,000원",대전 서구 둔산동,끌올 1시간 전,판매중,남성패션/잡화,식빵과버터,11,0,11,251,58.7°C,최근에 발매된 뉴발란스 2010 차콜색상 280사이즈 판매합니다.  정확한 상품명은 U20107Z3 입니다.  차콜과 네이비 블랙 색상이 조화롭게 구성되어 다양한 착장에 어울리고 사진보다 실물이 더 세련된 느낌이에요.  사이즈미스로 1회 단시간 착용하고 판매합니다. 바로 신으려고 박스는 처분한 상태라 공홈에서 구매한 내역을 사진으로 첨부했습니다. 더 궁금한 부분이 있으시면 사진으로 찍어 보여드립니다.  둔산동 가람아파트,https://www.daangn.com/kr/buy-sell/%EB%89%B4%EB%B0%9C%EB%9E%80%EC%8A%A4-2010-%EC%B0%A8%EC%BD%9C%EC%83%89%EC%83%81-280%EC%82%AC%EC%9D%B4%EC%A6%88-1%ED%9A%8C-%EC%B0%A9%EC%9A%A9-zhqw8ue9ivi1/
후지필름 X-Half 실버 카메라 + 배터리 충전기,"500,000원",대전 대덕구 오정동,1시간 전,판매중,디지털기기,디오션,7,2,7,46,42.9°C,후지필름 X-Half 실버 카메라입니다 - 배터리 2개와 충전기 함께 드립니다 - 뛰어난 색감으로 인물 사진 촬영에 좋아요 - 작고 가벼워서 휴대하기 편리합니다 보증 유무를 몰라서 싸게 놓아요^^,https://www.daangn.com/kr/buy-sell/%ED%9B%84%EC%A7%80%ED%95%84%EB%A6%84-x-half-%EC%8B%A4%EB%B2%84-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%B0%B0%ED%84%B0%EB%A6%AC-%EC%B6%A9%EC%A0%84%EA%B8%B0-7eb3u28xodc8/
"소노 호텔 앤 리조트상품권 <-> 롯데, 신세계, 현대, NC 상품권과 교환","123,456원",대전 서구 둔산동,1시간 전,판매중,티켓/교환권,상대와양자,5,0,1,34,56.2°C,"소노(구 대명 리조트) 호텔 앤 리조트 상품권과 롯데, 신세계, NC백화점 상품권 교환 원합니다. 10만원에서 50만원까지 교환 가능하세요.",https://www.daangn.com/kr/buy-sell/%EC%86%8C%EB%85%B8-%ED%98%B8%ED%85%94-%EC%95%A4-%EB%A6%AC%EC%A1%B0%ED%8A%B8%EC%83%81%ED%92%88%EA%B6%8C-%EB%A1%AF%EB%8D%B0-%EC%8B%A0%EC%84%B8%EA%B3%84-%ED%98%84%EB%8C%80-nc-%EC%83%81%ED%92%88%EA%B6%8C%EA%B3%BC-%EA%B5%90%ED%99%98-jgx7c9wts17a/
